date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:08	15237/15237	---M--	200	added ('OK')	text/html	etag:W/%223b85-PS06vr4naff6iQqkX02jM1pC61A%22	https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/H360/usee08d.html	(from )
19:02:10	149/149	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jun%202020%2017:02:09%20GMT	https://hyper360.api.eng.it/robots.txt		(from )
19:02:10	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2257d97c08-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	/Users/zz/Desktop/websites/Test_360/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:11	7420/7420	---M--	200	added ('OK')	text/css	etag:W/%221cfc-171bab8105c%22	https://hyper360.api.eng.it/resource/view/css/style.css	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/css/style.css	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:13	50483/50483	---M--	200	added ('OK')	image/png	etag:W/%22c533-171bab8105b%22	https://hyper360.api.eng.it/resource/img/logo.png	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/img/logo.png	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:14	828833/828833	---M--	200	added ('OK')	text/css	etag:W/%22ca5a1-169be6705e9%22	https://hyper360.api.eng.it/resource/view/360/lib/js/semantic/semantic.css	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/semantic/semantic.css	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:15	5802/5802	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4ae6-16aa%22	https://cdnjs.cloudflare.com/ajax/libs/tween.js/16.3.5/Tween.min.js	/Users/zz/Desktop/websites/Test_360/cdnjs.cloudflare.com/ajax/libs/tween.js/16.3.5/Tween.min.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:16	24451/24451	---M--	200	added ('OK')	application/javascript	etag:W/%225f83-171dff28db6%22	https://hyper360.api.eng.it/resource/view/360/lib/js/jsth/threejs/examples/js/controls/OrbitControlsInverted.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/jsth/threejs/examples/js/controls/OrbitControlsInverted.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:17	611535/611535	---M--	200	added ('OK')	application/javascript	etag:W/%22954cf-1712a60fed6%22	https://hyper360.api.eng.it/resource/view/360/lib/js/jsth/threejs/build/three.min.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/jsth/threejs/build/three.min.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:17	6405/6405	---M--	200	added ('OK')	application/javascript	etag:W/%221905-1712a60ff4b%22	https://hyper360.api.eng.it/resource/view/360/lib/js/jsth/threejs/examples/js/controls/DragControls.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/jsth/threejs/examples/js/controls/DragControls.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
